id,compriment
"1",0.000
"2",384.128
"3",215.162
"4",142.698
"5",257.488
"6",240.662
"7",193.421
"8",196.015
"9",254.345
"10",176.469
"11",197.729
"12",164.446
"13",166.060
"14",1013.288
"15",113.774
"16",152.458
"17",139.573
"18",109.198
"19",118.178
"20",993.742
"21",76.745
"22",198.452
"23",737.536
"24",219.805
"25",119.435
"26",280.685
"27",199.756
"28",897.422
"29",1363.970
"30",145.224
"31",233.174
"32",216.185
"33",270.472
"34",1037.393
"35",207.366
"36",344.308
"37",196.435
"38",199.300
"39",72.820
"40",90.530
"41",92.940
"42",198.136
"43",135.745
"44",109.053
"45",334.898
"46",231.972
"47",219.276
"48",79.436
"49",426.131
"50",118.094
"51",132.777
"52",110.383
"53",77.475
"54",132.452
"55",85.949
"56",144.849
"57",73.583
"58",212.510
"59",641.300
"60",470.784
"61",766.067
"62",975.286
"63",91.928
"64",102.129
"65",85.818
"66",123.807
"67",107.129
"68",214.904
"69",90.774
"70",94.491
"71",97.080
"72",121.484
"73",97.576
"74",245.284
"75",243.694
"76",214.736
"77",52.486
"78",61.103
"79",77.100
"80",81.654
"81",98.595
"82",93.598
"83",127.213
"84",96.889
"85",111.986
"86",82.786
"87",83.474
"88",84.835
"89",77.769
"90",79.721
"91",70.539
"92",105.942
"93",138.141
"94",92.069
"95",78.709
"96",84.688
"97",96.443
"98",72.149
"99",87.919
"100",73.116
"101",215.238
"102",779.657
"103",284.622
"104",357.987
"105",130.864
"106",113.721
"107",121.847
"108",352.126
"109",209.417
"110",245.776
"111",270.916
"112",84.874
"113",65.896
"114",207.591
"115",80.064
"116",110.730
"117",228.845
"118",183.950
"119",95.442
"120",121.636
"121",120.087
"122",150.343
"123",216.580
"124",149.219
"125",125.374
"126",145.597
"127",128.893
"128",213.336
"129",260.807
"130",265.213
"131",112.893
"132",118.198
"133",63.163
"134",86.187
"135",71.563
"136",79.159
"137",259.071
"138",486.772
"139",416.443
"140",232.658
"141",176.944
"142",248.366
"143",49.489
"144",42.881
"145",40.497
"146",59.175
"147",84.643
"148",106.518
"149",343.016
"150",375.741
"151",456.708
"152",89.671
"153",66.310
"154",69.113
"155",92.878
"156",372.186
"157",322.816
"158",319.930
"159",274.427
"160",81.490
"161",59.987
"162",55.486
"163",50.659
"164",41.960
"165",69.575
"166",89.549
"167",89.047
"168",119.433
"169",258.921
"170",301.618
"171",366.389
"172",321.106
"173",109.713
"174",96.735
"175",110.529
"176",228.160
"177",167.330
"178",167.592
"179",299.495
"180",190.835
"181",202.044
"182",103.557
"183",32.525
"184",29.606
"185",24.222
"186",22.021
"187",28.070
"188",23.973
"189",28.828
"190",31.128
"191",31.624
"192",32.440
"193",36.986
"194",41.605
"195",54.087
"196",48.728
"197",47.409
"198",44.143
"199",45.219
"200",50.721
"201",62.179
"202",57.799
"203",58.914
"204",68.298
"205",62.794
"206",53.727
"207",51.921
"208",51.510
"209",46.871
"210",47.614
"211",58.121
"212",86.547
"213",88.279
"214",42.909
"215",41.126
"216",32.776
"217",34.880
"218",35.370
"219",43.671
"220",49.225
"221",54.428
"222",63.742
"223",50.323
"224",37.855
"225",29.314
"226",49.488
"227",34.719
"228",31.960
"229",36.553
"230",30.688
